Date,Precipitation_mm_day
2018/4/6,12.4
2018/4/7,1.4
2018/4/8,0.2
2018/4/9,3.0
2018/4/10,0.0
2018/4/11,60.0
2018/4/12,0.8
2018/4/13,0.0
2018/4/14,19.6
2018/4/15,39.2
2018/4/16,0.0
2018/4/17,6.4
2018/4/18,11.2
2018/4/19,0.2
2018/4/20,0.0
2018/4/21,0.0
2018/4/22,0.0
2018/4/23,0.0
2018/4/24,22.4
2018/4/25,52.0
2018/4/26,0.0
2018/4/27,0.0
2018/4/28,0.0
2018/4/29,0.0
2018/4/30,0.0
2018/5/1,0.0
2018/5/2,4.0
2018/5/3,18.8
2018/5/4,3.2
2018/5/5,1.6
2018/5/6,3.2
2018/5/7,53.0
2018/5/8,11.4
2018/5/9,30.0
2018/5/10,0.6
2018/5/11,0.0
2018/5/12,0.0
2018/5/13,60.0
2018/5/14,4.4
2018/5/15,0.0
2018/5/16,0.0
2018/5/17,6.6
2018/5/18,6.8
2018/5/19,33.0
2018/5/20,0.0
2018/5/21,0.0
2018/5/22,0.0
2018/5/23,15.4
2018/5/24,2.4
2018/5/25,0.0
2018/5/26,0.0
2018/5/27,0.0
2018/5/28,0.0
2018/5/29,0.0
2018/5/30,10.6
2018/5/31,15.4
2018/6/1,0.2
2018/6/2,0.0
2018/6/3,0.0
2018/6/4,0.0
2018/6/5,0.0
2018/6/6,8.2
2018/6/7,0.0
2018/6/8,9.0
2018/6/9,0.0
2018/6/10,0.0
2018/6/11,5.2
2018/6/12,11.2
2018/6/13,0.0
2018/6/14,0.0
2018/6/15,1.2
2018/6/16,0.0
2018/6/17,0.0
2018/6/18,0.0
2018/6/19,0.0
2018/6/20,37.0
2018/6/21,0.6
2018/6/22,0.0
2018/6/23,3.0
2018/6/24,0.0
2018/6/25,0.0
2018/6/26,0.0
2018/6/27,39.0
2018/6/28,58.0
2018/6/29,23.8
2018/6/30,0.2
2018/7/1,0.0
2018/7/2,0.0
2018/7/3,0.0
2018/7/4,60.0
2018/7/5,108.0
2018/7/6,48.0
2018/7/7,27.2
2018/7/8,20.6
2018/7/9,1.2
2018/7/10,0.8
2018/7/11,5.0
2018/7/12,14.4
2018/7/13,0.0
2018/7/14,0.0
2018/7/15,0.0
2018/7/16,0.0
2018/7/17,0.0
2018/7/18,0.0
2018/7/19,0.0
2018/7/20,0.0
2018/7/21,0.0
2018/7/22,0.0
2018/7/23,0.0
2018/7/24,0.0
2018/7/25,0.0
2018/7/26,0.0
2018/7/27,0.0
2018/7/28,30.0
2018/7/29,2.4
2018/7/30,0.2
2018/7/31,0.0
2018/8/1,0.0
2018/8/2,0.0
2018/8/3,0.0
2018/8/4,0.0
2018/8/5,0.0
2018/8/6,0.0
2018/8/7,0.0
2018/8/8,1.2
2018/8/9,0.2
2018/8/10,8.2
2018/8/11,0.0
2018/8/12,11.0
2018/8/13,7.8
2018/8/14,11.6
2018/8/15,28.6
2018/8/16,58.0
2018/8/17,0.2
2018/8/18,0.0
2018/8/19,0.0
2018/8/20,1.4
2018/8/21,0.2
2018/8/22,0.0
2018/8/23,6.0
2018/8/24,16.4
2018/8/25,36.0
2018/8/26,0.0
2018/8/27,0.0
2018/8/28,19.8
2018/8/29,0.8
2018/8/30,5.8
2018/8/31,40.0
2018/9/1,19.2
2018/9/2,4.4
2018/9/3,0.0
2018/9/4,94.0
2018/9/5,9.4
2018/9/6,0.0
2018/9/7,58.0
2018/9/8,50.0
2018/9/9,15.2
2018/9/10,40.0
2018/9/11,0.4
2018/9/12,0.0
2018/9/13,3.6
2018/9/14,5.6
2018/9/15,54.0
2018/9/16,2.0
2018/9/17,1.2
2018/9/18,0.0
2018/9/19,0.0
2018/9/20,17.8
2018/9/21,32.0
2018/9/22,17.2
2018/9/23,0.0
2018/9/24,0.0
2018/9/25,8.0
2018/9/26,12.6
2018/9/27,15.8
2018/9/28,0.0
2018/9/29,30.8
2018/9/30,64.0
2018/10/1,18.0
2018/10/2,0.0
2018/10/3,0.0
2018/10/4,0.0
2018/10/5,0.0
2018/10/6,0.6
2018/10/7,6.4
2018/10/8,0.0
2018/10/9,0.0
2018/10/10,4.6
2018/10/11,4.2
2018/10/12,0.4
2018/10/13,0.0
2018/10/14,0.0
2018/10/15,0.0
2018/10/16,0.0
2018/10/17,0.0
2018/10/18,5.2
2018/10/19,1.4
2018/10/20,4.6
2018/10/21,0.0
2018/10/22,0.0
2018/10/23,3.6
2018/10/24,2.4
2018/10/25,0.0
2018/10/26,1.2
2018/10/27,31.0
2018/10/28,0.0
2018/10/29,0.2
2018/10/30,5.6
2018/10/31,0.0
2018/11/1,0.0
2018/11/2,0.0
2018/11/3,0.0
2018/11/4,1.2
2018/11/5,0.0
2018/11/6,8.2
2018/11/7,0.0
2018/11/8,0.0
2018/11/9,10.4
2018/11/10,1.2
2018/11/11,0.0
2018/11/12,0.0
2018/11/13,0.0
2018/11/14,0.0
2018/11/15,0.0
2018/11/16,0.0
2018/11/17,0.0
2018/11/18,0.0
2018/11/19,3.6
2018/11/20,0.0
2018/11/21,0.0
2018/11/22,0.4
2018/11/23,1.4
2018/11/24,0.0
2018/11/25,0.2
2018/11/26,1.0
2018/11/27,0.0
2018/11/28,1.2
2018/11/29,0.0
2018/11/30,0.0
