Taxon,Body_size_min,Body_size_max,Body_form_cylindrical,Body_form_cylindrical-net,Body_form_cylindrical-case,Body_form_flat-sucker,Body_form_flat-roundback,Generations_uni,Generations_multi,Feeding_group_browser,Feeding_group_scraper,Feeding_group_predator,Feeding_group_filterer,Feeding_group_collector,Feeding_group_shredder,Aerial_dispersal_ability_weak,Aerial_dispersal_ability_moderate,Aerial_dispersal_ability_high,Attachment_mode_swimmer,Attachment_mode_glider,Attachment_mode_crawler,Attachment_mode_net,Attachment_mode_case,Attachment_mode_interstitial,Pupation_none,Pupation_gravel,Pupation_cobble,Pupation_mud,Flow_type_slow,Flow_type_medium,Flow_type_fast,Flow_type_sidepool,Flow_type_bedrock,Habitat_affinity_vegetation,Habitat_affinity_cobble,Habitat_affinity_mud,Habitat_affinity_fine-sediment,Habitat_affinity_gravel,Habitat_affinity_interstitial
Rhyacophilia_sp1,10,20,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0,2,0,2,2,0,0,0,5,0,0,0,2,0,0,2,0
Rhyacophilia_sp2,10,20,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0,2,0,2,2,0,0,0,5,0,0,0,2,0,0,2,0
Hydrospyche_orientalis,8,15,1,4,0,0,0,0,1,1,0,0,4,1,0,0,0,1,0,0,0,5,0,1,0,2,2,0,0,2,3,0,0,0,2,0,0,2,0
Lepidostoma_sp,10,12,1,0,4,0,0,1,0,1,0,0,0,0,5,0,0,1,0,0,1,0,4,1,0,2,2,0,0,2,3,0,0,0,2,0,0,2,0
Glossoma_sp,8,12,1,0,4,0,0,1,0,3,1,0,0,1,1,0,1,0,0,0,1,0,4,1,0,2,2,0,0,0,5,0,0,0,2,0,0,2,0
Semblis_melaleuca,20,30,5,0,0,0,0,1,0,1,0,0,0,0,5,1,0,0,0,0,0,5,0,1,0,0,0,4,0,0,0,5,0,0,0,5,0,0,0
Limoniidae_spp,10,30,5,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,6,0,4,0,0,0,2,3,0,0,0,2,2,1,0,0
Goerodes_sp,9,16,1,0,4,0,0,1,0,3,1,0,0,1,1,1,0,0,0,0,1,0,4,1,0,4,0,0,0,2,3,0,0,0,2,0,0,2,0
Blepharacidae_spp,9,16,5,0,0,0,0,1,0,1,0,0,0,4,1,1,0,0,0,0,4,0,0,2,0,4,0,0,0,2,3,0,0,0,2,2,1,0,0
Ceratopogonidae_spp,12,12,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,3,1,0,0,0,2,0,4,0,0,0,2,3,0,0,0,2,2,1,0,0
Chironomidae_spp,4,8,5,0,0,0,0,1,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,6,0,0,0,4,0,2,3,0,0,0,2,0,0,2,0
Empididae_spp,5,6,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,6,0,4,0,0,0,1,4,0,0,0,2,0,0,2,0
Simuliidae_spp1,6,8,5,0,0,0,0,1,0,1,0,0,4,1,0,0,1,0,0,0,0,0,0,6,0,4,0,0,0,1,4,0,0,0,2,0,0,2,0
Simuliidae_spp2,6,8,5,0,0,0,0,1,0,1,0,0,4,1,0,0,1,0,0,0,0,0,0,6,0,4,0,0,0,1,4,0,0,0,2,0,0,2,0
Tipulidae_spp1,10,30,5,0,0,0,0,1,0,1,0,0,0,4,1,0,1,0,0,0,0,0,0,6,0,2,2,0,5,0,0,0,0,0,2,2,1,0,0
Antocha_sp,10,30,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,6,0,2,2,0,5,0,0,0,0,0,2,2,1,0,0
Oligochaeta,8,30,5,0,0,0,0,1,0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,6,0,0,0,4,5,0,0,0,0,0,2,2,1,0,0
Dysticidae_spp,16,22,5,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,6,0,0,0,0,0,4,0,0,0,2,1,1,1,0,3,0,1,0,2,0
Osmylidae_spp,10,20,5,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,4,0,0,1,0,2,2,0,0,2,3,0,0,0,2,0,0,2,0
Dixa_sp,4,8,5,0,0,0,0,1,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,6,0,0,0,4,0,2,3,0,0,0,2,2,1,0,0
Atherix_sp,9,16,5,0,0,0,0,1,0,1,0,0,0,4,1,0,1,0,0,0,0,0,0,6,0,0,0,4,0,2,3,0,0,0,2,2,1,0,0
